Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.0366274","0.078201","1.0","By_ingredient","0.1832"
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.604574","0.634655","1.0","By_ingredient","0.3362"
"SMTT00016","ABCB1","None","ATP binding cassette subfamily B member 1","Multidrug Resistance Protein 1","ENSG00000085563","P08183","0.169059","0.195714","1.0","By_ingredient","0.7978"
"SMTT00032","ABCG2","None","ATP binding cassette subfamily G member 2 (Junior blood group)","ATP-binding Cassette Sub-family G Member 2","ENSG00000118777","Q9UNQ0","0.00136715","0.00905601","1.0","By_ingredient","0.2758"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0475506","0.0699221","1.0","By_ingredient","0.1653"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.242733","0.27142","1.0","By_ingredient","7.1093"
"SMTT00056","ACPP","None","acid phosphatase, prostate","Prostatic Acid Phosphatase","ENSG00000014257","P15309","0.0659349","0.0893086","1.0","By_ingredient","0.1779"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.964814","0.970867","1.0","By_ingredient","0.6074"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.297041","0.327008","1.0","By_ingredient","1.3621"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.739832","0.764449","1.0","By_ingredient","2.3199"
"SMTT00118","AGL","1","Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","None","ENSG00000162688","None","0.00641954","0.0399386","1.0","By_ingredient","0.5854"
"SMTT00122","AGT","1","Angiotensinogen","Angiotensinogen","ENSG00000135744","P01019","0.0278267","0.0699221","1.0","By_ingredient","0.5194"
"SMTT00123","AGTR1","3","Angiotensin II Receptor Type 1","Type-1 Angiotensin II Receptor","ENSG00000144891","P30556","0.038224","0.0599169","1.0","By_ingredient","0.1531"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","1.4223e-05","0.000363451","1.0","By_ingredient","0.5887"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.00128028","0.00865268","1.0","By_ingredient","1.3959"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0659349","0.0893086","1.0","By_ingredient","0.1689"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.000126579","0.00389746","1.0","By_ingredient","1.6079"
"SMTT00151","ALDH18A1","10","Aldehyde Dehydrogenase 18 Family Member A1","Delta-1-pyrroline-5-carboxylate Synthase","ENSG00000059573","P54886","0.00969536","0.0263476","1.0","By_ingredient","None"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.000192593","0.00230423","1.0","By_ingredient","1.153"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.185109","0.212249","1.0","By_ingredient","0.7076"
"SMTT00195","ANG","14","Angiogenin","Angiogenin","ENSG00000214274","P03950","0.00969536","0.0263476","1.0","By_ingredient","0.2541"
