Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
SMTT06129,DPP4,None,dipeptidyl peptidase 4,None,ENSG00000197635,None,1.36E-11,5.09E-09,5.64E-06,By_ingredient,9.9565
SMTT00050,ACE2,None,angiotensin I converting enzyme 2,Angiotensin-converting Enzyme 2,ENSG00000130234,Q9BYF1,0.0451534,0.0866602,1,By_ingredient,0.1758
SMTT01141,ESR1,6,Estrogen Receptor 1,Estrogen Receptor,ENSG00000091831,P03372,1.63E-05,0.000856425,1,By_ingredient,9.0037
SMTT00052,ACO2,22,Aconitase 2,"Aconitate Hydratase, Mitochondrial",ENSG00000100412,Q99798,0.0340586,0.0757573,1,By_ingredient,0.1802
SMTT00057,ACSF3,16,Acyl-CoA Synthetase Family Member 3,None,ENSG00000176715,None,0.0114834,0.0500184,1,By_ingredient,0.1954
SMTT00069,ACVR1,2,Activin A Receptor Type 1,Activin Receptor Type-1,ENSG00000115170,Q04771,0.0171758,0.0581309,1,By_ingredient,0.1854
SMTT02777,PTGS2,None,prostaglandin-endoperoxide synthase 2,Prostaglandin G/H Synthase 2,ENSG00000073756,P35354,6.59E-05,0.00243269,1,By_ingredient,8.3908
SMTT00103,ADRA2A,None,adrenoceptor alpha 2A,Alpha-2A Adrenergic Receptor,ENSG00000150594,P08913,0.521115,0.553127,1,By_ingredient,0.5419
SMTT00105,ADRB1,None,adrenoceptor beta 1,Beta-1 Adrenergic Receptor,ENSG00000043591,P08588,0.389088,0.420705,1,By_ingredient,0.8343
SMTT01320,GABRA1,5,Gamma-aminobutyric Acid Type A Receptor Alpha1 Subunit,Gamma-aminobutyric Acid Receptor Subunit Alpha-1,ENSG00000022355,P14867,5.90E-17,5.11E-14,2.44E-11,By_ingredient,8.217
SMTT00108,ADSL,22,Adenylosuccinate Lyase,None,ENSG00000239900,None,0.0171758,0.0581309,1,By_ingredient,0.2003
SMTT00114,AGBL1,15,ATP/GTP Binding Protein Like 1,None,ENSG00000273540,None,0.0451534,0.0866602,1,By_ingredient,0.1869
SMTT00115,AGBL5,2,ATP/GTP Binding Protein Like 5,None,ENSG00000084693,None,0.0451534,0.0866602,1,By_ingredient,0.1865
SMTT02747,PRSS1,7,Serine Protease 1,Trypsin-1,ENSG00000204983,P07477,5.38E-05,0.00208848,1,By_ingredient,7.399
SMTT00051,ACHE,None,acetylcholinesterase (Cartwright blood group),Acetylcholinesterase,ENSG00000087085,P22303,1.34E-09,3.07E-07,0.000553508,By_ingredient,7.3799
SMTT00148,ALAS1,None,5'-aminolevulinate synthase 1,"5-aminolevulinate Synthase, Nonspecific, Mitochondrial",ENSG00000023330,P13196,0.0242713,0.0442718,1,By_ingredient,0.2273
SMTT00149,ALAS2,X,5'-aminolevulinate Synthase 2,"5-aminolevulinate Synthase, Erythroid-specific, Mitochondrial",ENSG00000158578,P22557,0.036187,0.057617,1,By_ingredient,0.2128
SMTT00153,ALDH2,12,Aldehyde Dehydrogenase 2 Family Member,"Aldehyde Dehydrogenase, Mitochondrial",ENSG00000111275,P05091,0.0120772,0.0504859,1,By_ingredient,0.3659
