Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00004","AAAS","12","Aladin WD Repeat Nucleoporin","None","ENSG00000094914","None","0.00694818","0.0413393","1.0","By_ingredient","0.1958"
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.0207008","0.062202","1.0","By_ingredient","0.1988"
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.180202","0.207203","1.0","By_ingredient","0.5847"
"SMTT00016","ABCB1","None","ATP binding cassette subfamily B member 1","Multidrug Resistance Protein 1","ENSG00000085563","P08183","0.143462","0.169401","1.0","By_ingredient","0.141"
"SMTT00029","ABCD3","1","ATP Binding Cassette Subfamily D Member 3","None","ENSG00000117528","None","0.0138483","0.0533141","1.0","By_ingredient","0.1952"
"SMTT00032","ABCG2","None","ATP binding cassette subfamily G member 2 (Junior blood group)","ATP-binding Cassette Sub-family G Member 2","ENSG00000118777","Q9UNQ0","0.022013","0.0639403","1.0","By_ingredient","0.2809"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0399185","0.0616815","1.0","By_ingredient","0.158"
"SMTT00041","ACADM","1","Acyl-CoA Dehydrogenase Medium Chain","Medium-chain Specific Acyl-CoA Dehydrogenase, Mitochondrial","ENSG00000117054","P11310","0.0161616","0.0345662","1.0","By_ingredient","0.2077"
"SMTT00044","ACADVL","17","Acyl-CoA Dehydrogenase Very Long Chain","None","ENSG00000072778","None","0.027506","0.0696682","1.0","By_ingredient","0.1845"
"SMTT00047","ACAT2","6","Acetyl-CoA Acetyltransferase 2","Acetyl-CoA Acetyltransferase, Cytosolic","ENSG00000120437","Q9BWD1","0.027506","0.0696682","1.0","By_ingredient","0.2442"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.0320635","0.0530252","1.0","By_ingredient","0.2123"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","5.44844e-06","0.000361587","1.0","By_ingredient","6.5178"
"SMTT00056","ACPP","None","acid phosphatase, prostate","Prostatic Acid Phosphatase","ENSG00000014257","P15309","0.0476404","0.0783598","1.0","By_ingredient","0.1701"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.00609668","0.039057","1.0","By_ingredient","0.3796"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.0207008","0.062202","1.0","By_ingredient","0.188"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.0276741","0.0483779","1.0","By_ingredient","1.7456"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.199878","0.227486","1.0","By_ingredient","1.2764"
"SMTT00104","ADRA2B","2","Adrenoceptor Alpha 2B","Alpha-2B Adrenergic Receptor","ENSG00000274286","P18089","0.0158868","0.0564243","1.0","By_ingredient","0.912"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.950702","0.958544","1.0","By_ingredient","0.3241"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","2.56596e-05","0.000560278","1.0","By_ingredient","4.2475"
"SMTT00110","AFF4","5","AF4/FMR2 Family Member 4","None","ENSG00000072364","None","0.0409754","0.0826373","1.0","By_ingredient","0.199"
"SMTT00122","AGT","1","Angiotensinogen","Angiotensinogen","ENSG00000135744","P01019","0.000506121","0.0100894","1.0","By_ingredient","0.6999"
"SMTT00123","AGTR1","3","Angiotensin II Receptor Type 1","Type-1 Angiotensin II Receptor","ENSG00000144891","P30556","0.0320635","0.0530252","1.0","By_ingredient","0.1661"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.00728533","0.0228635","1.0","By_ingredient","0.2601"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.492161","0.52434","1.0","By_ingredient","0.1446"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.022246","0.0642337","1.0","By_ingredient","0.5508"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.129379","0.155122","1.0","By_ingredient","0.196"
"SMTT00154","ALDH3A1","None","aldehyde dehydrogenase 3 family member A1","Aldehyde Dehydrogenase, Dimeric NADP-preferring","ENSG00000108602","P30838","0.0399185","0.0616815","1.0","By_ingredient","0.2104"
"SMTT00169","ALG6","1","ALG6, Alpha-1,3-glucosyltransferase","None","ENSG00000088035","None","0.0138483","0.0533141","1.0","By_ingredient","0.2001"
"SMTT00170","ALG8","11","ALG8, Alpha-1,3-glucosyltransferase","None","ENSG00000159063","None","0.00694818","0.0413393","1.0","By_ingredient","0.22"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.216966","0.244991","1.0","By_ingredient","0.3325"
"SMTT00178","ALS2","2","ALS2, Alsin Rho Guanine Nucleotide Exchange Factor","None","ENSG00000003393","None","0.0409754","0.0826373","1.0","By_ingredient","0.2121"
"SMTT00189","AMMECR1","X","Alport Syndrome, Mental Retardation, Midface Hypoplasia And Elliptocytosis Chromosomal Region Gene 1","None","ENSG00000101935","None","0.0138483","0.0533141","1.0","By_ingredient","0.2266"
"SMTT00207","ANLN","7","Anillin Actin Binding Protein","None","ENSG00000011426","None","0.034264","0.075886","1.0","By_ingredient","0.2133"
"SMTT00211","ANO6","12","Anoctamin 6","None","ENSG00000177119","None","0.0409754","0.0826373","1.0","By_ingredient","0.207"
"SMTT00219","AP2S1","19","Adaptor Related Protein Complex 2 Sigma 1 Subunit","None","ENSG00000042753","None","0.027506","0.0696682","1.0","By_ingredient","0.2122"
"SMTT00226","APAF1","None","apoptotic peptidase activating factor 1","Apoptotic Protease-activating Factor 1","ENSG00000120868","O14727","0.0320635","0.0530252","1.0","By_ingredient","0.1591"
"SMTT00235","APOD","None","apolipoprotein D","Apolipoprotein D","ENSG00000189058","P05090","0.034264","0.075886","1.0","By_ingredient","0.1811"
"SMTT00236","APOE","19","Apolipoprotein E","Apolipoprotein E","ENSG00000130203","P02649","0.0101225","0.0474481","1.0","By_ingredient","0.3312"
"SMTT00238","APP","21","Amyloid Beta Precursor Protein","Amyloid Beta A4 Protein","ENSG00000142192","P05067","0.049029","0.0899962","1.0","By_ingredient","0.3791"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","9.38728e-11","2.91363e-08","3.88182e-05","By_ingredient","12.0562"
"SMTT00245","ARFGEF2","20","ADP Ribosylation Factor Guanine Nucleotide Exchange Factor 2","None","ENSG00000124198","None","0.00694818","0.0413393","1.0","By_ingredient","0.2353"
"SMTT00273","ASNS","7","Asparagine Synthetase (glutamine-hydrolyzing)","Asparagine Synthetase [glutamine-hydrolyzing]","ENSG00000070669","P08243","0.0476404","0.0889364","1.0","By_ingredient","0.1913"
"SMTT00276","ASPM","1","Abnormal Spindle Microtubule Assembly","None","ENSG00000066279","None","0.0207008","0.062202","1.0","By_ingredient","0.2233"
"SMTT00278","ASS1","9","Argininosuccinate Synthase 1","Argininosuccinate Synthase","ENSG00000130707","P00966","0.0409754","0.0826373","1.0","By_ingredient","0.2072"
"SMTT00282","ATF2","None","activating transcription factor 2","Cyclic AMP-dependent Transcription Factor ATF-2","ENSG00000115966","P15336","0.000141159","0.00421808","1.0","By_ingredient","0.5521"
"SMTT00308","ATP8B1","18","ATPase Phospholipid Transporting 8B1","None","ENSG00000081923","None","0.0476404","0.0889364","1.0","By_ingredient","0.211"
"SMTT00321","AURKA","None","aurora kinase A","Aurora Kinase A","ENSG00000087586","O14965","0.00302694","0.0295662","1.0","By_ingredient","0.3712"
"SMTT00323","AUTS2","7","AUTS2, Activator Of Transcription And Developmental Regulator","None","ENSG00000158321","None","0.034264","0.075886","1.0","By_ingredient","0.195"
"SMTT00327","AXIN2","17","Axin 2","None","ENSG00000168646","None","0.034264","0.075886","1.0","By_ingredient","0.1767"
"SMTT00343","BANF1","11","Barrier To Autointegration Factor 1","None","ENSG00000175334","None","0.027506","0.0696682","1.0","By_ingredient","0.1945"
"SMTT00356","BCHE","None","butyrylcholinesterase","Cholinesterase","ENSG00000114200","P06276","0.615293","0.645141","1.0","By_ingredient","0.408"
"SMTT00358","BCKDHB","6","Branched Chain Keto Acid Dehydrogenase E1 Subunit Beta","None","ENSG00000083123","None","0.000143377","0.00426203","1.0","By_ingredient","0.44"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","3.14627e-07","3.54701e-05","0.130104","By_ingredient","2.1607"
"SMTT00362","BCL2L1","None","BCL2 like 1","Bcl-2-like Protein 1","ENSG00000171552","Q07817","3.732e-05","0.00160438","1.0","By_ingredient","0.9617"
