Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.00631765","0.0212518","1.0","By_ingredient","0.1943"
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.260483","0.289633","1.0","By_ingredient","0.1668"
"SMTT00033","ABCG5","2","ATP Binding Cassette Subfamily G Member 5","None","ENSG00000138075","None","0.0191939","0.0603271","1.0","By_ingredient","0.176"
"SMTT00034","ABCG8","2","ATP Binding Cassette Subfamily G Member 8","None","ENSG00000143921","None","0.0160204","0.0567038","1.0","By_ingredient","0.174"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0157206","0.0341405","1.0","By_ingredient","0.1823"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.000829351","0.0140347","1.0","By_ingredient","3.1304"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.231123","0.2596","1.0","By_ingredient","0.5308"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.596065","0.626452","1.0","By_ingredient","0.7239"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.0374798","0.07922","1.0","By_ingredient","0.6959"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.680223","0.707813","1.0","By_ingredient","1.0155"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.231689","0.260166","1.0","By_ingredient","0.3389"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.00776512","0.0415171","1.0","By_ingredient","0.3189"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.113547","0.139045","1.0","By_ingredient","0.2902"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.0203966","0.0618058","1.0","By_ingredient","0.3037"
"SMTT00214","ANTXR2","4","Anthrax Toxin Receptor 2","Anthrax Toxin Receptor 2","ENSG00000163297","P58335","0.00316375","0.015165","1.0","By_ingredient","0.1801"
"SMTT00227","APC","5","APC, WNT Signaling Pathway Regulator","None","ENSG00000134982","None","0.00316375","0.015165","1.0","By_ingredient","0.167"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","0.0293547","0.0712392","1.0","By_ingredient","3.9599"
