Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00023","ABCC2","10","ATP Binding Cassette Subfamily C Member 2","Canalicular Multispecific Organic Anion Transporter 1","ENSG00000023839","Q92887","0.047796","0.070172","1.0","By_ingredient","0.1659"
"SMTT00037","ABL1","9","ABL Proto-oncogene 1, Non-receptor Tyrosine Kinase","Tyrosine-protein Kinase ABL1","ENSG00000097007","P00519","0.0397735","0.0813496","1.0","By_ingredient","0.3426"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.047796","0.070172","1.0","By_ingredient","0.1929"
"SMTT00041","ACADM","1","Acyl-CoA Dehydrogenase Medium Chain","Medium-chain Specific Acyl-CoA Dehydrogenase, Mitochondrial","ENSG00000117054","P11310","0.0193983","0.0385549","1.0","By_ingredient","0.2075"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.0","0.0","0.0","By_ingredient","19.0994"
"SMTT00053","ACOX1","17","Acyl-CoA Oxidase 1","Peroxisomal Acyl-coenzyme A Oxidase 1","ENSG00000161533","Q15067","0.00974639","0.0264223","1.0","By_ingredient","0.1956"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","6.91211e-16","4.18292e-13","6.10706e-11","By_ingredient","3.8833"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","3.83635e-10","7.73073e-08","3.39379e-05","By_ingredient","2.6844"
"SMTT00104","ADRA2B","2","Adrenoceptor Alpha 2B","Alpha-2B Adrenergic Receptor","ENSG00000274286","P18089","2.7893e-07","3.23997e-05","0.115343","By_ingredient","1.8749"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","3.43423e-09","5.16428e-07","0.000303143","By_ingredient","2.8518"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","8.73069e-07","4.39884e-05","0.0771557","By_ingredient","4.7206"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.0103654","0.0272241","1.0","By_ingredient","0.3426"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.557198","0.588754","1.0","By_ingredient","0.5863"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0662718","0.0896898","1.0","By_ingredient","0.3496"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.311013","0.34136","1.0","By_ingredient","0.5771"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.153436","0.179626","1.0","By_ingredient","0.1625"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.0343798","0.0557337","1.0","By_ingredient","0.3236"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","0.992586","0.994634","1.0","By_ingredient","7.8047"
"SMTT00287","ATM","11","ATM Serine/threonine Kinase","Serine-protein Kinase ATM","ENSG00000149311","Q13315","0.00999152","0.0474436","1.0","By_ingredient","0.3502"
"SMTT00295","ATP2C1","3","ATPase Secretory Pathway Ca2+ Transporting 1","Calcium-transporting ATPase Type 2C Member 1","ENSG00000017260","P98194","0.093319","0.118006","1.0","By_ingredient","0.2207"
"SMTT00320","AUH","9","AU RNA Binding Methylglutaconyl-CoA Hydratase","None","ENSG00000148090","None","0.00974639","0.0264223","1.0","By_ingredient","0.2153"
"SMTT00356","BCHE","None","butyrylcholinesterase","Cholinesterase","ENSG00000114200","P06276","0.0391672","0.0609104","1.0","By_ingredient","1.2843"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","0.000362204","0.00800054","1.0","By_ingredient","1.7059"
