Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.0511991","0.0738578","1.0","By_ingredient","0.5192"
"SMTT00041","ACADM","1","Acyl-CoA Dehydrogenase Medium Chain","Medium-chain Specific Acyl-CoA Dehydrogenase, Mitochondrial","ENSG00000117054","P11310","0.0174771","0.0363435","1.0","By_ingredient","0.2349"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.0346505","0.0560328","1.0","By_ingredient","0.1907"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","1.14323e-28","3.72243e-25","4.72748e-23","By_ingredient","14.7435"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.0102448","0.0477536","1.0","By_ingredient","0.4093"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.00076401","0.00599563","1.0","By_ingredient","2.0839"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.10548","0.130612","1.0","By_ingredient","1.0093"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.400856","0.432598","1.0","By_ingredient","0.588"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.000241248","0.00269347","1.0","By_ingredient","3.9924"
"SMTT00125","AGXT","2","Alanine--glyoxylate And Serine--pyruvate Aminotransferase","Serine--pyruvate Aminotransferase","ENSG00000172482","P21549","0.00573219","0.0386911","1.0","By_ingredient","0.5528"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.519648","0.551676","1.0","By_ingredient","0.349"
"SMTT00140","AKR1C1","None","aldo-keto reductase family 1 member C1","Aldo-keto Reductase Family 1 Member C1","ENSG00000187134","Q04828","0.0261015","0.0464126","1.0","By_ingredient","0.2088"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.0438074","0.0659525","1.0","By_ingredient","0.5536"
"SMTT00147","ALAD","9","Aminolevulinate Dehydratase","Delta-aminolevulinic Acid Dehydratase","ENSG00000148218","P13716","0.00697895","0.0414389","1.0","By_ingredient","0.3398"
"SMTT00148","ALAS1","None","5'-aminolevulinate synthase 1","5-aminolevulinate Synthase, Nonspecific, Mitochondrial","ENSG00000023330","P13196","0.0346505","0.0560328","1.0","By_ingredient","0.1866"
