Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.0793219","0.103344","1.0","By_ingredient","0.1907"
"SMTT00022","ABCC1","None","ATP binding cassette subfamily C member 1","Multidrug Resistance-associated Protein 1","ENSG00000103222","P33527","0.00260031","0.0136825","1.0","By_ingredient","0.1685"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.367619","0.398966","1.0","By_ingredient","1.1534"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.00982578","0.0265096","1.0","By_ingredient","0.3849"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.21985","0.247918","1.0","By_ingredient","0.4058"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.0657097","0.0890983","1.0","By_ingredient","1.0307"
"SMTT00140","AKR1C1","None","aldo-keto reductase family 1 member C1","Aldo-keto Reductase Family 1 Member C1","ENSG00000187134","Q04828","0.00260031","0.0136825","1.0","By_ingredient","0.1757"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.00235285","0.0257383","1.0","By_ingredient","0.4893"
"SMTT00154","ALDH3A1","None","aldehyde dehydrogenase 3 family member A1","Aldehyde Dehydrogenase, Dimeric NADP-preferring","ENSG00000108602","P30838","0.0272917","0.069462","1.0","By_ingredient","0.2155"
"SMTT00232","APOB","2","Apolipoprotein B","None","ENSG00000084674","None","0.00433032","0.0177694","1.0","By_ingredient","0.1906"
