Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.0212166","0.0406995","1.0","By_ingredient","0.1929"
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.269108","0.298409","1.0","By_ingredient","0.4081"
"SMTT00022","ABCC1","None","ATP binding cassette subfamily C member 1","Multidrug Resistance-associated Protein 1","ENSG00000103222","P33527","0.0316563","0.0526158","1.0","By_ingredient","0.3704"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0522044","0.0749155","1.0","By_ingredient","0.1811"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","1.36366e-25","3.18588e-22","5.63901e-20","By_ingredient","16.8466"
"SMTT00061","ACTA2","10","Actin, Alpha 2, Smooth Muscle, Aorta","Actin, Aortic Smooth Muscle","ENSG00000107796","P62736","0.0623151","0.0855759","1.0","By_ingredient","0.3691"
"SMTT00071","ACVRL1","12","Activin A Receptor Like Type 1","Serine/threonine-protein Kinase Receptor R3","ENSG00000139567","P37023","0.0255549","0.0672724","1.0","By_ingredient","0.1811"
"SMTT00089","ADCY2","None","adenylate cyclase 2","Adenylate Cyclase Type 2","ENSG00000078295","Q08462","0.0106649","0.0275272","1.0","By_ingredient","0.1843"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.000534956","0.00463887","1.0","By_ingredient","2.5997"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.359286","0.390603","1.0","By_ingredient","1.0487"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.0977673","0.122603","1.0","By_ingredient","1.4894"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.623258","0.652873","1.0","By_ingredient","2.735"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.0387528","0.0801202","1.0","By_ingredient","1.23"
"SMTT00140","AKR1C1","None","aldo-keto reductase family 1 member C1","Aldo-keto Reductase Family 1 Member C1","ENSG00000187134","Q04828","0.0316563","0.0526158","1.0","By_ingredient","0.1827"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0723185","0.0961542","1.0","By_ingredient","0.1516"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.000170225","0.004798","1.0","By_ingredient","1.5833"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.201708","0.229386","1.0","By_ingredient","0.2106"
"SMTT00203","ANKRD11","16","Ankyrin Repeat Domain 11","None","ENSG00000167522","None","0.0128599","0.051746","1.0","By_ingredient","0.2004"
"SMTT00227","APC","5","APC, WNT Signaling Pathway Regulator","None","ENSG00000134982","None","0.0106649","0.0275272","1.0","By_ingredient","0.1659"
