Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","9.37893e-05","0.00144523","1.0","By_ingredient","0.7901"
"SMTT00016","ABCB1","None","ATP binding cassette subfamily B member 1","Multidrug Resistance Protein 1","ENSG00000085563","P08183","0.000421884","0.00893185","1.0","By_ingredient","0.6773"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.00160807","0.0209908","1.0","By_ingredient","3.6063"
"SMTT00055","ACP5","19","Acid Phosphatase 5, Tartrate Resistant","Tartrate-resistant Acid Phosphatase Type 5","ENSG00000102575","P13686","0.0417077","0.0831951","1.0","By_ingredient","0.2243"
"SMTT00073","ADA","20","Adenosine Deaminase","Adenosine Deaminase","ENSG00000196839","P00813","0.046234","0.0876643","1.0","By_ingredient","0.2167"
"SMTT00089","ADCY2","None","adenylate cyclase 2","Adenylate Cyclase Type 2","ENSG00000078295","Q08462","0.00484768","0.0187599","1.0","By_ingredient","0.1586"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.0039839","0.0168928","1.0","By_ingredient","1.4211"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.0124076","0.0299009","1.0","By_ingredient","1.0712"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.00256957","0.0251863","1.0","By_ingredient","1.3472"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.00156781","0.0206385","1.0","By_ingredient","2.4051"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.000616559","0.00567521","1.0","By_ingredient","0.8847"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","6.857e-07","6.66236e-05","0.28355","By_ingredient","1.3616"
"SMTT00150","ALB","4","Albumin","Serum Albumin","ENSG00000163631","P02768","0.0144734","0.0327519","1.0","By_ingredient","0.1677"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.0793219","0.103344","1.0","By_ingredient","0.1786"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.00411705","0.0257576","1.0","By_ingredient","0.6353"
