Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.400468","0.432191","1.0","By_ingredient","0.1875"
"SMTT00041","ACADM","1","Acyl-CoA Dehydrogenase Medium Chain","Medium-chain Specific Acyl-CoA Dehydrogenase, Mitochondrial","ENSG00000117054","P11310","0.0106875","0.0275294","1.0","By_ingredient","0.2052"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","1.36028e-09","3.11463e-07","0.000562502","By_ingredient","8.8854"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.00903811","0.0456882","1.0","By_ingredient","0.3913"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.00725775","0.0228157","1.0","By_ingredient","1.709"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.0664939","0.0899229","1.0","By_ingredient","0.9403"
"SMTT00104","ADRA2B","2","Adrenoceptor Alpha 2B","Alpha-2B Adrenergic Receptor","ENSG00000274286","P18089","0.0343558","0.0759165","1.0","By_ingredient","0.912"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.133663","0.159507","1.0","By_ingredient","1.1456"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","1.90734e-05","0.000448594","1.0","By_ingredient","4.1604"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.0823974","0.10661","1.0","By_ingredient","0.1577"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.0873179","0.111797","1.0","By_ingredient","0.2301"
"SMTT00232","APOB","2","Apolipoprotein B","None","ENSG00000084674","None","0.0265069","0.0468668","1.0","By_ingredient","0.187"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","0.513564","0.545506","1.0","By_ingredient","7.2346"
"SMTT00297","ATP5B","None","None","ATP Synthase Subunit Beta, Mitochondrial","None","P06576","0.0169718","0.0407053","1.0","By_ingredient","0.1946"
"SMTT00335","B4GALT4","None","beta-1,4-galactosyltransferase 4","Beta-1,4-galactosyltransferase 4","ENSG00000121578","O60513","0.00535796","0.0194871","1.0","By_ingredient","0.2102"
"SMTT00344","BAP1","3","BRCA1 Associated Protein 1","None","ENSG00000163930","None","0.00535796","0.0194871","1.0","By_ingredient","0.1877"
"SMTT00356","BCHE","None","butyrylcholinesterase","Cholinesterase","ENSG00000114200","P06276","0.397638","0.429331","1.0","By_ingredient","0.6619"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","0.0361741","0.0777522","1.0","By_ingredient","1.0118"
"SMTT00374","BGLAP","None","bone gamma-carboxyglutamate protein","Osteocalcin","ENSG00000242252","P02818","0.00801953","0.0437443","1.0","By_ingredient","0.3714"
"SMTT00389","BMP2","20","Bone Morphogenetic Protein 2","None","ENSG00000125845","None","0.0112378","0.0500184","1.0","By_ingredient","0.4128"
"SMTT00422","C1S","12","Complement C1s","Complement C1s Subcomponent","ENSG00000182326","P09871","0.0228343","0.0649931","1.0","By_ingredient","0.382"
"SMTT00423","C2","6","Complement C2","None","ENSG00000166278","None","0.0236811","0.0654039","1.0","By_ingredient","0.3676"
"SMTT00434","CA1","None","carbonic anhydrase 1","Carbonic Anhydrase 1","ENSG00000133742","P00915","0.0970806","0.121903","1.0","By_ingredient","0.2037"
"SMTT00436","CA2","8","Carbonic Anhydrase 2","Carbonic Anhydrase 2","ENSG00000104267","P00918","1.0722e-05","0.000612988","1.0","By_ingredient","7.7899"
"SMTT00461","CALM3","19","Calmodulin 3","None","ENSG00000160014","None","0.669542","0.697644","1.0","By_ingredient","0.7067"
"SMTT00480","CASP3","None","caspase 3","Caspase-3","ENSG00000164305","P42574","0.0004601","0.00944236","1.0","By_ingredient","1.7105"
"SMTT00487","CAT","11","Catalase","Catalase","ENSG00000121691","P04040","0.047751","0.0889541","1.0","By_ingredient","0.5001"
"SMTT00490","CAV1","7","Caveolin 1","None","ENSG00000105974","None","0.0420758","0.0639847","1.0","By_ingredient","0.1644"
"SMTT00515","CCL11","None","C-C motif chemokine ligand 11","Eotaxin","ENSG00000172156","P51671","0.00378006","0.0325448","1.0","By_ingredient","0.4242"
"SMTT00516","CCL2","None","C-C motif chemokine ligand 2","C-C Motif Chemokine 2","ENSG00000108691","P13500","0.101923","0.12688","1.0","By_ingredient","0.2272"
"SMTT00520","CCNA2","None","cyclin A2","Cyclin-A2","ENSG00000145386","P20248","0.541546","0.573408","1.0","By_ingredient","2.8482"
"SMTT00521","CCND1","11","Cyclin D1","G1/S-specific Cyclin-D1","ENSG00000110092","P24385","0.210728","0.238603","1.0","By_ingredient","0.1592"
"SMTT00541","CD36","7","CD36 Molecule","None","ENSG00000135218","None","0.0317242","0.0526305","1.0","By_ingredient","0.1819"
"SMTT00569","CDK2","None","cyclin dependent kinase 2","Cyclin-dependent Kinase 2","ENSG00000123374","P24941","0.0106845","0.0488967","1.0","By_ingredient","4.3084"
"SMTT00570","CDK4","12","Cyclin Dependent Kinase 4","Cyclin-dependent Kinase 4","ENSG00000135446","P11802","0.148955","0.175041","1.0","By_ingredient","0.3787"
"SMTT00577","CDKN1A","6","Cyclin Dependent Kinase Inhibitor 1A","Cyclin-dependent Kinase Inhibitor 1","ENSG00000124762","P38936","0.214967","0.242935","1.0","By_ingredient","0.3001"
"SMTT00614","CFB","6","Complement Factor B","Complement Factor B","ENSG00000243649","P00751","0.0254252","0.0672724","1.0","By_ingredient","0.3815"
"SMTT00616","CFD","19","Complement Factor D","Complement Factor D","ENSG00000197766","P00746","0.0245447","0.0664335","1.0","By_ingredient","0.3836"
"SMTT00619","CFI","4","Complement Factor I","Complement Factor I","ENSG00000205403","P05156","0.0228343","0.0649931","1.0","By_ingredient","0.4089"
"SMTT00636","CHRM1","None","cholinergic receptor muscarinic 1","Muscarinic Acetylcholine Receptor M1","ENSG00000168539","P11229","7.04318e-07","3.7414e-05","0.0622195","By_ingredient","5.4755"
"SMTT00637","CHRM3","1","Cholinergic Receptor Muscarinic 3","Muscarinic Acetylcholine Receptor M3","ENSG00000133019","P20309","3.89385e-05","0.00165907","1.0","By_ingredient","3.7783"
