Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00023","ABCC2","10","ATP Binding Cassette Subfamily C Member 2","Canalicular Multispecific Organic Anion Transporter 1","ENSG00000023839","Q92887","0.0199963","0.0392602","1.0","By_ingredient","0.3882"
"SMTT00033","ABCG5","2","ATP Binding Cassette Subfamily G Member 5","None","ENSG00000138075","None","0.0460806","0.0874554","1.0","By_ingredient","0.1946"
"SMTT00034","ABCG8","2","ATP Binding Cassette Subfamily G Member 8","None","ENSG00000143921","None","0.0385499","0.08001","1.0","By_ingredient","0.1923"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.158734","0.185141","1.0","By_ingredient","2.6291"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.629015","0.658517","1.0","By_ingredient","0.7865"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.317839","0.348277","1.0","By_ingredient","0.973"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.435743","0.4679","1.0","By_ingredient","0.7327"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.15144","0.177567","1.0","By_ingredient","1.7844"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.062609","0.0858302","1.0","By_ingredient","0.1656"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0278838","0.0485916","1.0","By_ingredient","0.3872"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.00720826","0.0271349","1.0","By_ingredient","0.8965"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.114206","0.139681","1.0","By_ingredient","0.3376"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","0.00532567","0.0373884","1.0","By_ingredient","10.4721"
"SMTT00297","ATP5B","None","None","ATP Synthase Subunit Beta, Mitochondrial","None","P06576","0.0160289","0.0344604","1.0","By_ingredient","0.2286"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","0.327561","0.358241","1.0","By_ingredient","0.9308"
"SMTT00369","BDNF","11","Brain Derived Neurotrophic Factor","Brain-derived Neurotrophic Factor","ENSG00000176697","P23560","0.0446773","0.0862047","1.0","By_ingredient","0.4108"
"SMTT00409","BTK","X","Bruton Tyrosine Kinase","Tyrosine-protein Kinase BTK","ENSG00000010671","Q06187","0.021566","0.0635209","1.0","By_ingredient","0.4072"
"SMTT00425","C3","19","Complement C3","Complement C3","ENSG00000125730","P01024","0.0120456","0.0293794","1.0","By_ingredient","0.2419"
"SMTT00428","C5","9","Complement C5","Complement C5","ENSG00000106804","P01031","0.00804641","0.0239742","1.0","By_ingredient","0.262"
"SMTT00436","CA2","8","Carbonic Anhydrase 2","Carbonic Anhydrase 2","ENSG00000104267","P00918","0.909194","0.921329","1.0","By_ingredient","3.678"
"SMTT00461","CALM3","19","Calmodulin 3","None","ENSG00000160014","None","0.446051","0.478249","1.0","By_ingredient","0.8502"
"SMTT00480","CASP3","None","caspase 3","Caspase-3","ENSG00000164305","P42574","0.0135916","0.0529873","1.0","By_ingredient","1.4856"
"SMTT00487","CAT","11","Catalase","Catalase","ENSG00000121691","P04040","0.0387553","0.0801244","1.0","By_ingredient","0.5875"
"SMTT00515","CCL11","None","C-C motif chemokine ligand 11","Eotaxin","ENSG00000172156","P51671","0.00804641","0.0239742","1.0","By_ingredient","0.2564"
"SMTT00516","CCL2","None","C-C motif chemokine ligand 2","C-C Motif Chemokine 2","ENSG00000108691","P13500","0.0776466","0.101673","1.0","By_ingredient","0.4016"
"SMTT00517","CCL3","None","C-C motif chemokine ligand 3","C-C Motif Chemokine 3","ENSG00000277632","P10147","0.0120456","0.0293794","1.0","By_ingredient","0.239"
"SMTT00520","CCNA2","None","cyclin A2","Cyclin-A2","ENSG00000145386","P20248","0.395092","0.426763","1.0","By_ingredient","1.2616"
"SMTT00535","CD247","1","CD247 Molecule","T-cell Surface Glycoprotein CD3 Zeta Chain","ENSG00000198821","P20963","0.00804641","0.0239742","1.0","By_ingredient","0.2843"
"SMTT00541","CD36","7","CD36 Molecule","None","ENSG00000135218","None","0.0239479","0.0440043","1.0","By_ingredient","0.2041"
"SMTT00552","CD80","None","CD80 molecule","T-lymphocyte Activation Antigen CD80","ENSG00000121594","P33681","0.0318041","0.0527323","1.0","By_ingredient","0.242"
"SMTT00554","CD86","None","CD86 molecule","T-lymphocyte Activation Antigen CD86","ENSG00000114013","P42081","0.0278838","0.0485916","1.0","By_ingredient","0.2423"
"SMTT00569","CDK2","None","cyclin dependent kinase 2","Cyclin-dependent Kinase 2","ENSG00000123374","P24941","0.273529","0.302938","1.0","By_ingredient","2.3313"
"SMTT00577","CDKN1A","6","Cyclin Dependent Kinase Inhibitor 1A","Cyclin-dependent Kinase Inhibitor 1","ENSG00000124762","P38936","0.0142009","0.0324091","1.0","By_ingredient","0.5707"
"SMTT00590","CEBPA","19","CCAAT Enhancer Binding Protein Alpha","None","ENSG00000245848","None","0.00955975","0.0467748","1.0","By_ingredient","0.3998"
"SMTT00624","CHAT","10","Choline O-acetyltransferase","Choline O-acetyltransferase","ENSG00000070748","P28329","0.00955975","0.0467748","1.0","By_ingredient","0.4102"
"SMTT00629","CHKB","22","Choline Kinase Beta","None","ENSG00000100288","None","0.0309601","0.0727825","1.0","By_ingredient","0.2076"
"SMTT00636","CHRM1","None","cholinergic receptor muscarinic 1","Muscarinic Acetylcholine Receptor M1","ENSG00000168539","P11229","0.0425776","0.0645622","1.0","By_ingredient","2.3625"
"SMTT00865","CYP1A1","None","cytochrome P450 family 1 subfamily A member 1","Cytochrome P450 1A1","ENSG00000140465","P04798","0.103391","0.128431","1.0","By_ingredient","0.3285"
"SMTT00866","CYP1A2","None","cytochrome P450 family 1 subfamily A member 2","Cytochrome P450 1A2","ENSG00000140505","P05177","0.0701578","0.0938695","1.0","By_ingredient","0.3306"
"SMTT00867","CYP1B1","2","Cytochrome P450 Family 1 Subfamily B Member 1","Cytochrome P450 1B1","ENSG00000138061","Q16678","0.0239479","0.0440043","1.0","By_ingredient","0.1918"
"SMTT00883","CYP3A4","None","cytochrome P450 family 3 subfamily A member 4","Cytochrome P450 3A4","ENSG00000160868","P08684","0.117783","0.143348","1.0","By_ingredient","0.1723"
"SMTT00903","DBI","None","diazepam binding inhibitor, acyl-CoA binding protein","Acyl-CoA-binding Protein","ENSG00000155368","P07108","0.0385499","0.08001","1.0","By_ingredient","0.2089"
"SMTT01069","EGF","4","Epidermal Growth Factor","Pro-epidermal Growth Factor","ENSG00000138798","P01133","2.87733e-05","0.00131779","1.0","By_ingredient","0.8629"
"SMTT01084","EIF6","None","eukaryotic translation initiation factor 6","Eukaryotic Translation Initiation Factor 6","ENSG00000242372","P56537","0.110616","0.135939","1.0","By_ingredient","0.2057"
"SMTT01141","ESR1","6","Estrogen Receptor 1","Estrogen Receptor","ENSG00000091831","P03372","0.00861729","0.0448525","1.0","By_ingredient","8.7976"
"SMTT01142","ESR2","None","estrogen receptor 2","Estrogen Receptor Beta","ENSG00000140009","Q92731","0.424667","0.4567","1.0","By_ingredient","1.2669"
"SMTT01168","F2","11","Coagulation Factor II, Thrombin","Prothrombin","ENSG00000180210","P00734","0.0160289","0.0344604","1.0","By_ingredient","0.3773"
"SMTT01170","F3","None","coagulation factor III, tissue factor","Tissue Factor","ENSG00000117525","P13726","0.0290508","0.0709811","1.0","By_ingredient","0.4086"
"SMTT01202","FASN","None","fatty acid synthase","Fatty Acid Synthase","ENSG00000169710","P49327","0.0997574","0.124732","1.0","By_ingredient","0.1967"
"SMTT01326","GAD1","2","Glutamate Decarboxylase 1","Glutamate Decarboxylase 1","ENSG00000128683","Q99259","0.0385499","0.08001","1.0","By_ingredient","0.2216"
"SMTT01464","GRIA2","None","glutamate ionotropic receptor AMPA type subunit 2","Glutamate Receptor 2","ENSG00000120251","P42262","0.317839","0.348277","1.0","By_ingredient","0.4214"
"SMTT01483","GSK3B","None","glycogen synthase kinase 3 beta","Glycogen Synthase Kinase-3 Beta","ENSG00000082701","P49841","0.427446","0.459521","1.0","By_ingredient","1.6242"
"SMTT01489","GSTM1","None","glutathione S-transferase mu 1","Glutathione S-transferase Mu 1","ENSG00000134184","P09488","0.0434713","0.0655563","1.0","By_ingredient","0.1807"
"SMTT01490","GSTM2","None","glutathione S-transferase mu 2","Glutathione S-transferase Mu 2","ENSG00000213366","P28161","0.0199963","0.0392602","1.0","By_ingredient","0.1792"
"SMTT01491","GSTP1","None","glutathione S-transferase pi 1","Glutathione S-transferase P","ENSG00000084207","P09211","0.107011","0.132234","1.0","By_ingredient","0.1633"
"SMTT01550","HIF1A","None","hypoxia inducible factor 1 alpha subunit","Hypoxia-inducible Factor 1-alpha","ENSG00000100644","Q16665","0.0850758","0.109448","1.0","By_ingredient","0.354"
"SMTT01569","HMOX1","22","Heme Oxygenase 1","Heme Oxygenase 1","ENSG00000100292","P09601","0.103391","0.128431","1.0","By_ingredient","0.5887"
"SMTT01638","ICAM1","None","intercellular adhesion molecule 1","Intercellular Adhesion Molecule 1","ENSG00000090339","P05362","0.128426","0.154193","1.0","By_ingredient","0.3422"
"SMTT01644","IDO1","None","indoleamine 2,3-dioxygenase 1","Indoleamine 2,3-dioxygenase 1","ENSG00000131203","P14902","0.00403123","0.0169981","1.0","By_ingredient","0.236"
"SMTT01671","IGHG1","None","immunoglobulin heavy constant gamma 1 (G1m marker)","Ig Gamma-1 Chain C Region","None","P01857","0.0142009","0.0495257","1.0","By_ingredient","1.7897"
"SMTT01679","IKBKB","8","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta","Inhibitor Of Nuclear Factor Kappa-B Kinase Subunit Beta","ENSG00000104365","O14920","0.000442275","0.00407025","1.0","By_ingredient","0.3886"
"SMTT01697","IL1B","None","interleukin 1 beta","Interleukin-1 Beta","ENSG00000125538","P01584","0.166379","0.192974","1.0","By_ingredient","0.5658"
"SMTT01700","IL2","None","interleukin 2","Interleukin-2","ENSG00000109471","P60568","0.0924459","0.117087","1.0","By_ingredient","0.2297"
"SMTT01710","IL4","None","interleukin 4","Interleukin-4","ENSG00000113520","P05112","0.107011","0.132234","1.0","By_ingredient","0.4354"
"SMTT01711","IL5","None","interleukin 5","Interleukin-5","ENSG00000113525","P05113","0.0278838","0.0485916","1.0","By_ingredient","0.2673"
"SMTT01726","INSR","19","Insulin Receptor","Insulin Receptor","ENSG00000171105","P06213","0.0239479","0.0440043","1.0","By_ingredient","0.1794"
"SMTT01754","ITGAL","None","integrin subunit alpha L","Integrin Alpha-L","ENSG00000005844","P20701","0.0460806","0.0874554","1.0","By_ingredient","0.2073"
"SMTT01778","JUN","None","Jun proto-oncogene, AP-1 transcription factor subunit","Transcription Factor AP-1","ENSG00000177606","P05412","0.030793","0.0517469","1.0","By_ingredient","0.7044"
"SMTT01803","KCNH2","7","Potassium Voltage-gated Channel Subfamily H Member 2","Potassium Voltage-gated Channel Subfamily H Member 2","ENSG00000055118","Q12809","0.523747","0.555721","1.0","By_ingredient","0.5555"
"SMTT01833","KDR","4","Kinase Insert Domain Receptor","Vascular Endothelial Growth Factor Receptor 2","ENSG00000128052","P35968","0.164107","0.190688","1.0","By_ingredient","0.5661"
"SMTT01979","LPL","8","Lipoprotein Lipase","Lipoprotein Lipase","ENSG00000175445","P06858","0.0511723","0.0738216","1.0","By_ingredient","0.1861"
"SMTT02025","MAOB","None","monoamine oxidase B","Amine Oxidase [flavin-containing] B","ENSG00000069535","P27338","0.132232","0.158079","1.0","By_ingredient","1.9545"
"SMTT02033","MAPK1","22","Mitogen-activated Protein Kinase 1","Mitogen-activated Protein Kinase 1","ENSG00000100030","P28482","0.152771","0.178959","1.0","By_ingredient","0.7836"
"SMTT02034","MAPK10","4","Mitogen-activated Protein Kinase 10","Mitogen-activated Protein Kinase 10","ENSG00000109339","P53779","0.0239479","0.0440043","1.0","By_ingredient","0.1982"
"SMTT02038","MAPK8","None","mitogen-activated protein kinase 8","Mitogen-activated Protein Kinase 8","ENSG00000107643","P45983","0.0776466","0.101673","1.0","By_ingredient","0.1651"
"SMTT02095","MGAM","None","maltase-glucoamylase","Maltase-glucoamylase, Intestinal","ENSG00000257335","O43451","0.0434713","0.0655563","1.0","By_ingredient","0.2947"
"SMTT02132","MMP1","11","Matrix Metallopeptidase 1","Interstitial Collagenase","ENSG00000196611","P03956","0.00875478","0.0449176","1.0","By_ingredient","0.5151"
"SMTT02251","NCOA1","None","nuclear receptor coactivator 1","Nuclear Receptor Coactivator 1","ENSG00000084676","Q15788","0.81245","0.832533","1.0","By_ingredient","0.568"
"SMTT02292","NECTIN1","11","Nectin Cell Adhesion Molecule 1","None","ENSG00000110400","None","0.0309601","0.0727825","1.0","By_ingredient","0.2248"
"SMTT02319","NHLRC1","6","NHL Repeat Containing E3 Ubiquitin Protein Ligase 1","None","ENSG00000187566","None","0.00783109","0.0435221","1.0","By_ingredient","0.2885"
"SMTT02349","NOS2","None","nitric oxide synthase 2","Nitric Oxide Synthase, Inducible","ENSG00000007171","P35228","0.519948","0.551968","1.0","By_ingredient","2.9204"
"SMTT02374","NR1I2","None","nuclear receptor subfamily 1 group I member 2","Nuclear Receptor Subfamily 1 Group I Member 2","ENSG00000144852","O75469","0.00453282","0.0181955","1.0","By_ingredient","0.3749"
"SMTT02375","NR1I3","None","nuclear receptor subfamily 1 group I member 3","Nuclear Receptor Subfamily 1 Group I Member 3","ENSG00000143257","Q14994","0.0160289","0.0344604","1.0","By_ingredient","0.1771"
"SMTT02379","NR3C1","5","Nuclear Receptor Subfamily 3 Group C Member 1","Glucocorticoid Receptor","ENSG00000113580","P04150","3.82697e-13","1.49117e-10","3.38495e-08","By_ingredient","5.5958"
