Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.238588","0.26718","1.0","By_ingredient","0.368"
"SMTT00023","ABCC2","10","ATP Binding Cassette Subfamily C Member 2","Canalicular Multispecific Organic Anion Transporter 1","ENSG00000023839","Q92887","0.0480414","0.0703557","1.0","By_ingredient","0.1592"
"SMTT00032","ABCG2","None","ATP binding cassette subfamily G member 2 (Junior blood group)","ATP-binding Cassette Sub-family G Member 2","ENSG00000118777","Q9UNQ0","0.0573705","0.0803054","1.0","By_ingredient","0.152"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0480414","0.0703557","1.0","By_ingredient","0.1773"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","3.28868e-09","6.8476e-07","0.00135993","By_ingredient","9.9806"
"SMTT00056","ACPP","None","acid phosphatase, prostate","Prostatic Acid Phosphatase","ENSG00000014257","P15309","0.0666086","0.0900546","1.0","By_ingredient","0.1909"
"SMTT00089","ADCY2","None","adenylate cyclase 2","Adenylate Cyclase Type 2","ENSG00000078295","Q08462","0.00979742","0.0264388","1.0","By_ingredient","0.2041"
"SMTT00100","ADORA2A","None","adenosine A2a receptor","Adenosine Receptor A2a","ENSG00000128271","P29274","0.00117391","0.0172508","1.0","By_ingredient","0.761"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.000476307","0.00557054","1.0","By_ingredient","3.0238"
"SMTT00103","ADRA2A","None","adrenoceptor alpha 2A","Alpha-2A Adrenergic Receptor","ENSG00000150594","P08913","0.00033973","0.00769191","1.0","By_ingredient","2.3534"
"SMTT00105","ADRB1","None","adrenoceptor beta 1","Beta-1 Adrenergic Receptor","ENSG00000043591","P08588","0.00011599","0.00366559","1.0","By_ingredient","2.5888"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","1.24694e-08","2.23412e-06","0.00515634","By_ingredient","6.0054"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.000471946","0.00426233","1.0","By_ingredient","0.4967"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.0481095","0.0704509","1.0","By_ingredient","1.2346"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0666086","0.0900546","1.0","By_ingredient","0.3521"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","1.85177e-05","0.000944777","1.0","By_ingredient","1.5869"
"SMTT00147","ALAD","9","Aminolevulinate Dehydratase","Delta-aminolevulinic Acid Dehydratase","ENSG00000148218","P13716","0.0757567","0.0997152","1.0","By_ingredient","0.2309"
"SMTT00154","ALDH3A1","None","aldehyde dehydrogenase 3 family member A1","Aldehyde Dehydrogenase, Dimeric NADP-preferring","ENSG00000108602","P30838","0.0101513","0.0475225","1.0","By_ingredient","0.4432"
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.000200472","0.00237055","1.0","By_ingredient","0.8742"
"SMTT00177","ALPL","1","Alkaline Phosphatase, Liver/bone/kidney","Alkaline Phosphatase, Tissue-nonspecific Isozyme","ENSG00000162551","P05186","0.00572652","0.0386662","1.0","By_ingredient","0.374"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.186872","0.214076","1.0","By_ingredient","0.2432"
"SMTT00238","APP","21","Amyloid Beta Precursor Protein","Amyloid Beta A4 Protein","ENSG00000142192","P05067","0.111466","0.136824","1.0","By_ingredient","0.3893"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","1.08381e-05","0.000618349","1.0","By_ingredient","12.2346"
"SMTT00282","ATF2","None","activating transcription factor 2","Cyclic AMP-dependent Transcription Factor ATF-2","ENSG00000115966","P15336","0.0573705","0.0803054","1.0","By_ingredient","0.1872"
"SMTT00295","ATP2C1","3","ATPase Secretory Pathway Ca2+ Transporting 1","Calcium-transporting ATPase Type 2C Member 1","ENSG00000017260","P98194","0.0937862","0.118471","1.0","By_ingredient","0.2119"
"SMTT00325","AVPR2","X","Arginine Vasopressin Receptor 2","Vasopressin V2 Receptor","ENSG00000126895","P30518","0.0470088","0.0883544","1.0","By_ingredient","0.3079"
"SMTT00356","BCHE","None","butyrylcholinesterase","Cholinesterase","ENSG00000114200","P06276","0.715884","0.741759","1.0","By_ingredient","0.3752"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","5.43845e-06","0.000178069","0.480787","By_ingredient","2.1508"
"SMTT00362","BCL2L1","None","BCL2 like 1","Bcl-2-like Protein 1","ENSG00000171552","Q07817","0.000224622","0.00283224","1.0","By_ingredient","1.0431"
"SMTT00380","BIRC5","None","baculoviral IAP repeat containing 5","Baculoviral IAP Repeat-containing Protein 5","ENSG00000089685","O15392","0.000568956","0.00484995","1.0","By_ingredient","0.4815"
"SMTT00389","BMP2","20","Bone Morphogenetic Protein 2","None","ENSG00000125845","None","0.0573705","0.0803054","1.0","By_ingredient","0.1562"
"SMTT00399","BRAF","7","B-Raf Proto-oncogene, Serine/threonine Kinase","Serine/threonine-protein Kinase B-raf","ENSG00000157764","P15056","0.0286294","0.0706678","1.0","By_ingredient","0.196"
"SMTT00436","CA2","8","Carbonic Anhydrase 2","Carbonic Anhydrase 2","ENSG00000104267","P00918","1.5248e-23","2.86607e-20","6.30535e-18","By_ingredient","15.3813"
"SMTT00443","CACNA1A","19","Calcium Voltage-gated Channel Subunit Alpha1 A","Voltage-dependent P/Q-type Calcium Channel Subunit Alpha-1A","ENSG00000141837","O00555","0.0191782","0.0603271","1.0","By_ingredient","0.1782"
"SMTT00444","CACNA1B","9","Calcium Voltage-gated Channel Subunit Alpha1 B","Voltage-dependent N-type Calcium Channel Subunit Alpha-1B","ENSG00000148408","Q00975","0.0286294","0.0706678","1.0","By_ingredient","0.2006"
